@relation powersupply
@attribute width  numeric
@attribute height numeric
@attribute color  {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23}
@data
0.310046,0.271028,6
0.369406,0.359813,7
0.424201,0.439252,8
0.478995,0.476636,9
0.551598,0.551402,10
0.547032,0.523364,11
0.523288,0.53271,12
0.434247,0.439252,13
0.395434,0.383178,14
0.435616,0.406542,15
0.434247,0.425234,16
0.498174,0.471963,17
0.653425,0.635514,18
0.669406,0.654206,19
0.620091,0.602804,20
0.574429,0.542056,21
0.519635,0.485981,22
0.437443,0.401869,23
0.368493,0.350467,0
0.281735,0.327103,1
0.243379,0.257009,2
0.226484,0.219626,3
0.208219,0.205607,4
0.202283,0.224299,5
0.26484,0.247664,6
0.289954,0.299065,7
0.267123,0.317757,8
0.326484,0.32243,9
0.408676,0.411215,10
0.429224,0.411215,11
0.460274,0.46729,12
0.384932,0.383178,13
0.379452,0.369159,14
0.352055,0.369159,15
0.33379,0.35514,16
0.418265,0.420561,17
0.571233,0.560748,18
0.630594,0.630841,19
0.621461,0.598131,20
0.594064,0.560748,21
0.542922,0.509346,22
0.485845,0.448598,23
0.311416,0.359813,0
0.308219,0.308411,1
0.254795,0.242991,2
0.26621,0.228972,3
0.253881,0.228972,4
0.278995,0.271028,5
0.36758,0.345794,6
0.609589,0.579439,7
0.880365,0.845794,8
0.926941,0.911215,9
0.932877,0.883178,10
0.907763,0.869159,11
0.871233,0.827103,12
0.769406,0.747664,13
0.767123,0.752336,14
0.783105,0.775701,15
0.821005,0.827103,16
0.850685,0.845794,17
0.942009,0.929907,18
0.905479,0.892523,19
0.800457,0.780374,20
0.718265,0.700935,21
0.620091,0.598131,22
0.560731,0.560748,23
0.450228,0.523364,0
0.339726,0.406542,1
0.307763,0.331776,2
0.241096,0.285047,3
0.273059,0.331776,4
0.299543,0.32243,5
0.380365,0.397196,6
0.581279,0.607477,7
0.887671,0.808411,8
0.938813,0.925234,9
0.915982,0.915888,10
0.902283,0.892523,11
0.847489,0.845794,12
0.751598,0.752336,13
0.73516,0.724299,14
0.748858,0.747664,15
0.785388,0.761682,16
0.781279,0.785047,17
0.931507,0.929907,18
0.896804,0.883178,19
0.812329,0.775701,20
0.7379,0.742991,21
0.660274,0.682243,22
0.530137,0.504673,23
0.446119,0.471963,0
0.36347,0.38785,1
0.312785,0.313084,2
0.279452,0.294393,3
0.291324,0.317757,4
0.289954,0.299065,5
0.351598,0.392523,6
0.579909,0.584112,7
0.854795,0.845794,8
0.906393,0.873832,9
0.852055,0.850467,10
0.822831,0.841121,11
0.770776,0.766355,12
0.679452,0.67757,13
0.666667,0.658879,14
0.703653,0.719626,15
0.72968,0.742991,16
0.746119,0.766355,17
0.896804,0.897196,18
0.887671,0.869159,19
0.76621,0.771028,20
0.688584,0.67757,21
0.582192,0.635514,22
0.506849,0.495327,23
0.405936,0.415888,0
0.348858,0.35514,1
0.316895,0.28972,2
0.316895,0.28972,3
0.319178,0.271028,4
0.302283,0.285047,5
0.346575,0.364486,6
0.606393,0.584112,7
0.80274,0.808411,8
0.887215,0.88785,9
0.890868,0.878505,10
0.868037,0.850467,11
0.80411,0.78972,12
0.712785,0.696262,13
0.712329,0.71028,14
0.723744,0.733645,15
0.769863,0.761682,16
0.751598,0.780374,17
0.923744,0.906542,18
0.89726,0.911215,19
0.806849,0.827103,20
0.714612,0.705607,21
0.578995,0.607477,22
0.542466,0.551402,23
0.426941,0.448598,0
0.347032,0.345794,1
0.309589,0.317757,2
0.278539,0.28972,3
0.284475,0.28972,4
0.299087,0.28972,5
0.353881,0.359813,6
0.586758,0.602804,7
0.824201,0.845794,8
0.880365,0.897196,9
0.875342,0.892523,10
0.861644,0.883178,11
0.797717,0.817757,12
0.730137,0.714953,13
0.715068,0.724299,14
0.740183,0.747664,15
0.745662,0.757009,16
0.702283,0.747664,17
0.897717,0.892523,18
0.879452,0.88785,19
0.814612,0.803738,20
0.695434,0.719626,21
0.583562,0.593458,22
0.528767,0.537383,23
0.459817,0.457944,0
0.376712,0.383178,1
0.344749,0.350467,2
0.271689,0.294393,3
0.253425,0.294393,4
0.26484,0.275701,5
0.314155,0.313084,6
0.46347,0.485981,7
0.56895,0.584112,8
0.655708,0.67757,9
0.714155,0.728972,10
0.720091,0.686916,11
0.620548,0.630841,12
0.509589,0.546729,13
0.468037,0.495327,14
0.473973,0.462617,15
0.483562,0.471963,16
0.517808,0.5,17
0.700457,0.682243,18
0.727854,0.714953,19
0.652055,0.649533,20
0.574429,0.579439,21
0.503653,0.495327,22
0.439726,0.439252,23
0.393607,0.359813,0
0.289498,0.303738,1
0.257534,0.271028,2
0.239269,0.238318,3
0.184475,0.214953,4
0.236986,0.228972,5
0.237443,0.271028,6
0.299543,0.308411,7
0.292694,0.303738,8
0.42968,0.383178,9
0.454338,0.495327,10
0.474886,0.485981,11
0.488584,0.495327,12
0.417808,0.453271,13
0.360731,0.373832,14
0.344749,0.350467,15
0.349315,0.359813,16
0.40411,0.415888,17
0.547945,0.551402,18
0.606393,0.61215,19
0.589041,0.598131,20
0.573516,0.579439,21
0.503653,0.514019,22
0.451142,0.457944,23
0.357991,0.373832,0
0.282648,0.383178,1
0.251598,0.261682,2
0.240183,0.242991,3
0.2379,0.238318,4
0.272146,0.280374,5
0.315525,0.369159,6
0.594977,0.588785,7
0.889498,0.859813,8
0.919178,0.920561,9
0.919178,0.911215,10
0.903196,0.915888,11
0.834703,0.85514,12
0.770776,0.766355,13
0.750228,0.742991,14
0.763927,0.766355,15
0.773059,0.771028,16
0.791324,0.78972,17
0.937443,0.943925,18
0.93516,0.934579,19
0.79589,0.794393,20
0.730594,0.714953,21
0.605023,0.598131,22
0.468037,0.5,23
0.419178,0.38785,0
0.399543,0.406542,1
0.359361,0.327103,2
0.341553,0.331776,3
0.3621,0.32243,4
0.350228,0.373832,5
0.414155,0.411215,6
0.6379,0.598131,7
0.856164,0.831776,8
0.920091,0.906542,9
0.929224,0.892523,10
0.901826,0.869159,11
0.824201,0.808411,12
0.742009,0.71028,13
0.719178,0.714953,14
0.771689,0.747664,15
0.758447,0.766355,16
0.79726,0.757009,17
0.935616,0.897196,18
0.940183,0.897196,19
0.823744,0.766355,20
0.764384,0.719626,21
0.630594,0.621495,22
0.575799,0.551402,23
0.461644,0.443925,0
0.384018,0.373832,1
0.361187,0.327103,2
0.30137,0.275701,3
0.297717,0.28972,4
0.315982,0.308411,5
0.409589,0.359813,6
0.649315,0.602804,7
0.888128,0.827103,8
0.97032,0.920561,9
1,0.939252,10
0.986301,0.948598,11
0.920091,0.869159,12
0.819635,0.757009,13
0.819635,0.757009,14
0.812785,0.817757,15
0.840183,0.813084,16
0.892694,0.85514,17
0.945205,0.929907,18
0.926941,0.901869,19
0.83105,0.803738,20
0.749772,0.738318,21
0.635616,0.616822,22
0.557991,0.556075,23
0.448858,0.46729,0
0.366667,0.369159,1
0.316438,0.294393,2
0.279909,0.271028,3
0.289041,0.280374,4
0.323288,0.336449,5
0.375799,0.383178,6
0.60411,0.588785,7
0.861187,0.831776,8
0.911416,0.864486,9
0.913699,0.883178,10
0.874886,0.878505,11
0.861187,0.836449,12
0.726484,0.757009,13
0.749315,0.705607,14
0.753881,0.738318,15
0.790411,0.747664,16
0.790411,0.757009,17
0.959361,0.911215,18
0.92968,0.897196,19
0.852055,0.78972,20
0.794977,0.714953,21
0.645205,0.588785,22
0.53105,0.504673,23
0.43105,0.462617,0
0.334703,0.345794,1
0.305023,0.308411,2
0.277626,0.308411,3
0.293607,0.308411,4
0.30274,0.308411,5
0.364384,0.383178,6
0.629224,0.593458,7
0.856164,0.803738,8
0.954338,0.939252,9
0.954338,0.934579,10
0.956621,0.901869,11
0.899543,0.841121,12
0.802283,0.775701,13
0.795434,0.775701,14
0.786301,0.785047,15
0.83653,0.785047,16
0.82968,0.785047,17
0.948402,0.906542,18
0.948402,0.901869,19
0.82968,0.785047,20
0.708676,0.67757,21
0.617352,0.598131,22
0.550228,0.546729,23
0.462557,0.453271,0
0.340183,0.383178,1
0.324201,0.317757,2
0.237443,0.266355,3
0.257078,0.266355,4
0.286301,0.275701,5
0.327397,0.336449,6
0.600457,0.476636,7
0.583105,0.588785,8
0.678995,0.67757,9
0.695434,0.714953,10
0.670776,0.668224,11
0.639726,0.621495,12
0.549315,0.53271,13
0.496804,0.476636,14
0.476256,0.457944,15
0.481735,0.481308,16
0.509132,0.490654,17
0.681735,0.686916,18
0.745662,0.714953,19
0.649772,0.630841,20
0.585845,0.574766,21
0.503653,0.495327,22
0.438813,0.420561,23
0.392694,0.350467,0
0.286301,0.271028,1
0.242922,0.219626,2
0.243836,0.21028,3
0.225571,0.191589,4
0.224201,0.214953,5
0.257991,0.238318,6
0.299543,0.275701,7
0.317352,0.327103,8
0.381279,0.373832,9
0.472603,0.443925,10
0.518265,0.485981,11
0.522831,0.528037,12
0.442466,0.434579,13
0.402283,0.425234,14
0.39863,0.378505,15
0.391781,0.369159,16
0.416895,0.439252,17
0.572146,0.556075,18
0.613242,0.593458,19
0.612329,0.602804,20
0.607763,0.574766,21
0.507306,0.504673,22
0.46484,0.425234,23
0.369406,0.331776,0
0.29589,0.257009,1
0.259817,0.228972,2
0.23242,0.242991,3
0.239269,0.21028,4
0.252968,0.261682,5
0.33242,0.364486,6
0.627397,0.570093,7
0.857991,0.827103,8
0.935616,0.906542,9
0.933333,0.901869,10
0.916438,0.88785,11
0.854795,0.813084,12
0.765753,0.719626,13
0.793151,0.738318,14
0.790411,0.752336,15
0.800457,0.771028,16
0.822831,0.771028,17
0.933333,0.88785,18
0.919178,0.85514,19
0.823288,0.761682,20
0.763014,0.700935,21
0.618721,0.579439,22
0.539269,0.523364,23
0.457991,0.406542,0
0.380822,0.336449,1
0.348858,0.299065,2
0.291781,0.271028,3
0.326941,0.285047,4
0.321005,0.308411,5
0.3621,0.401869,6
0.63516,0.579439,7
0.831507,0.766355,8
0.890868,0.869159,9
0.876712,0.85514,10
0.865297,0.836449,11
0.835616,0.78972,12
0.742009,0.691589,13
0.742009,0.700935,14
0.76484,0.719626,15
0.771689,0.724299,16
0.794521,0.742991,17
0.926941,0.915888,18
0.913242,0.873832,19
0.815982,0.775701,20
0.743379,0.696262,21
0.624658,0.607477,22
0.570776,0.570093,23
0.46758,0.462617,0
0.377169,0.369159,1
0.318265,0.299065,2
0.290868,0.303738,3
0.293151,0.294393,4
0.310502,0.313084,5
0.371233,0.378505,6
0.631507,0.574766,7
0.83379,0.794393,8
0.934703,0.878505,9
0.916438,0.859813,10
0.916438,0.827103,11
0.907306,0.757009,12
0.76484,0.714953,13
0.757991,0.71028,14
0.748858,0.705607,15
0.744292,0.714953,16
0.742466,0.719626,17
0.922831,0.864486,18
0.945662,0.897196,19
0.80411,0.771028,20
0.73105,0.67757,21
0.59726,0.574766,22
0.540183,0.509346,23
0.471233,0.429907,0
0.398174,0.350467,1
0.288584,0.285047,2
0.284018,0.266355,3
0.279452,0.257009,4
0.353881,0.285047,5
0.363927,0.345794,6
0.577626,0.537383,7
0.86758,0.841121,8
0.917808,0.892523,9
0.920091,0.897196,10
0.89726,0.88785,11
0.846575,0.836449,12
0.757534,0.742991,13
0.758447,0.780374,14
0.781279,0.780374,15
0.809589,0.803738,16
0.827854,0.799065,17
0.941553,0.911215,18
0.890868,0.859813,19
0.844292,0.813084,20
0.754338,0.700935,21
0.621918,0.579439,22
0.560274,0.528037,23
0.43379,0.448598,0
0.359361,0.336449,1
0.293151,0.28972,2
0.284018,0.252336,3
0.3,0.275701,4
0.302283,0.285047,5
0.375342,0.341121,6
0.675799,0.579439,7
0.821918,0.771028,8
0.898174,0.864486,9
0.882648,0.827103,10
0.857991,0.813084,11
0.823744,0.747664,12
0.722374,0.67757,13
0.699543,0.663551,14
0.720548,0.682243,15
0.727397,0.696262,16
0.73516,0.700935,17
0.901826,0.869159,18
0.913242,0.878505,19
0.822831,0.771028,20
0.73242,0.67757,21
0.592237,0.593458,22
0.576712,0.546729,23
0.450685,0.392523,0
0.363927,0.341121,1
0.297717,0.285047,2
0.274886,0.261682,3
0.290868,0.261682,4
0.306849,0.280374,5
0.33653,0.299065,6
0.495434,0.560748,7
0.577626,0.570093,8
0.655251,0.649533,9
0.705479,0.691589,10
0.678539,0.635514,11
0.591324,0.593458,12
0.52968,0.490654,13
0.470776,0.448598,14
0.468493,0.453271,15
0.487671,0.448598,16
0.505936,0.481308,17
0.665753,0.635514,18
0.702283,0.67757,19
0.642922,0.649533,20
0.551598,0.570093,21
0.496804,0.457944,22
0.430594,0.401869,23
0.380365,0.336449,0
0.334247,0.285047,1
0.315525,0.257009,2
0.23379,0.21028,3
0.236986,0.196262,4
0.252968,0.205607,5
0.285388,0.224299,6
0.321918,0.266355,7
0.275342,0.242991,8
0.371233,0.359813,9
0.437443,0.429907,10
0.439726,0.439252,11
0.439726,0.415888,12
0.381279,0.38785,13
0.358447,0.35514,14
0.328767,0.317757,15
0.331507,0.317757,16
0.310959,0.331776,17
0.527854,0.509346,18
0.594064,0.579439,19
0.580365,0.565421,20
0.534703,0.528037,21
0.463927,0.457944,22
0.463927,0.420561,23
0.405479,0.331776,0
0.308219,0.257009,1
0.263927,0.219626,2
0.254795,0.219626,3
0.250228,0.228972,4
0.277626,0.252336,5
0.384018,0.331776,6
0.7,0.574766,7
0.780365,0.757009,8
0.861187,0.841121,9
0.888584,0.845794,10
0.87032,0.817757,11
0.781279,0.775701,12
0.742466,0.719626,13
0.719635,0.686916,14
0.742466,0.691589,15
0.749315,0.700935,16
0.736986,0.686916,17
0.881735,0.85514,18
0.895434,0.878505,19
0.83653,0.780374,20
0.717352,0.682243,21
0.588128,0.584112,22
0.476256,0.457944,23
0.424201,0.383178,0
0.353425,0.308411,1
0.295434,0.271028,2
0.284018,0.266355,3
0.271689,0.252336,4
0.293607,0.271028,5
0.394064,0.364486,6
0.638356,0.579439,7
0.810959,0.766355,8
0.903196,0.850467,9
0.904566,0.869159,10
0.858904,0.808411,11
0.799543,0.761682,12
0.703653,0.658879,13
0.73653,0.696262,14
0.738813,0.691589,15
0.72968,0.686916,16
0.731963,0.649533,17
0.894064,0.873832,18
0.897717,0.850467,19
0.815525,0.775701,20
0.752055,0.682243,21
0.592694,0.584112,22
0.535616,0.542056,23
0.444292,0.481308,0
0.339269,0.327103,1
0.319635,0.294393,2
0.305936,0.294393,3
0.309132,0.280374,4
0.293151,0.294393,5
0.359361,0.411215,6
0.635616,0.579439,7
0.835616,0.780374,8
0.926941,0.845794,9
0.892694,0.845794,10
0.851598,0.794393,11
0.810502,0.766355,12
0.737443,0.682243,13
0.719178,0.67757,14
0.744292,0.714953,15
0.730594,0.71028,16
0.7379,0.696262,17
0.890868,0.850467,18
0.878539,0.850467,19
0.778995,0.761682,20
0.719635,0.663551,21
0.607763,0.588785,22
0.550685,0.546729,23
0.428767,0.411215,0
0.372603,0.35514,1
0.3,0.280374,2
0.277169,0.275701,3
0.327397,0.308411,4
0.309132,0.317757,5
0.39589,0.38785,6
0.621918,0.602804,7
0.823288,0.799065,8
0.951142,0.929907,9
0.937443,0.906542,10
0.889498,0.859813,11
0.841553,0.82243,12
0.745662,0.696262,13
0.750228,0.714953,14
0.754795,0.733645,15
0.770776,0.728972,16
0.761644,0.705607,17
0.919178,0.869159,18
0.887215,0.873832,19
0.809589,0.757009,20
0.725114,0.705607,21
0.601826,0.584112,22
0.549315,0.542056,23
0.454338,0.415888,0
0.385845,0.373832,1
0.305936,0.28972,2
0.292237,0.271028,3
0.312785,0.294393,4
0.33105,0.308411,5
0.360731,0.35514,6
0.625571,0.593458,7
0.792237,0.775701,8
0.894977,0.845794,9
0.876712,0.859813,10
0.874429,0.85514,11
0.799087,0.808411,12
0.712329,0.682243,13
0.716895,0.682243,14
0.737443,0.705607,15
0.755708,0.719626,16
0.746575,0.700935,17
0.899543,0.869159,18
0.876712,0.836449,19
0.817352,0.766355,20
0.694064,0.668224,21
0.591324,0.565421,22
0.543379,0.523364,23
0.446575,0.434579,0
0.343836,0.317757,1
0.314155,0.280374,2
0.277626,0.275701,3
0.300457,0.261682,4
0.298174,0.285047,5
0.355251,0.336449,6
0.56758,0.542056,7
0.569863,0.565421,8
0.656621,0.64486,9
0.706849,0.71028,10
0.677169,0.672897,11
0.622374,0.607477,12
0.5379,0.518692,13
0.446575,0.453271,14
0.462557,0.495327,15
0.473973,0.457944,16
0.467123,0.462617,17
0.679452,0.663551,18
0.684018,0.658879,19
0.661187,0.630841,20
0.583562,0.556075,21
0.489954,0.485981,22
0.419178,0.411215,23
0.354795,0.350467,0
0.295434,0.275701,1
0.254338,0.224299,2
0.217808,0.205607,3
0.176712,0.196262,4
0.231507,0.205607,5
0.261187,0.242991,6
0.281735,0.275701,7
0.302283,0.266355,8
0.384475,0.317757,9
0.454795,0.443925,10
0.475342,0.462617,11
0.461644,0.462617,12
0.397717,0.35514,13
0.340639,0.336449,14
0.340639,0.32243,15
0.30411,0.299065,16
0.331507,0.317757,17
0.489041,0.471963,18
0.5621,0.551402,19
0.559817,0.551402,20
0.548402,0.523364,21
0.482192,0.46729,22
0.445662,0.401869,23
0.363014,0.317757,0
0.278539,0.257009,1
0.223744,0.21028,2
0.237443,0.205607,3
0.244292,0.205607,4
0.285388,0.271028,5
0.349315,0.313084,6
0.63242,0.579439,7
0.787215,0.752336,8
0.90137,0.841121,9
0.909132,0.859813,10
0.831507,0.799065,11
0.806393,0.785047,12
0.651142,0.696262,13
0.7379,0.691589,14
0.718265,0.682243,15
0.763927,0.719626,16
0.73653,0.682243,17
0.891781,0.859813,18
0.878082,0.845794,19
0.773059,0.733645,20
0.73653,0.696262,21
0.590411,0.560748,22
0.521918,0.495327,23
0.405479,0.401869,0
0.335616,0.308411,1
0.288584,0.280374,2
0.283105,0.252336,3
0.308219,0.261682,4
0.314155,0.32243,5
0.405479,0.378505,6
0.647489,0.584112,7
0.79589,0.757009,8
0.878082,0.836449,9
0.875799,0.831776,10
0.871233,0.813084,11
0.825571,0.766355,12
0.720548,0.668224,13
0.715982,0.705607,14
0.725114,0.686916,15
0.757078,0.691589,16
0.743379,0.682243,17
0.923744,0.883178,18
0.903196,0.859813,19
0.791324,0.757009,20
0.702283,0.686916,21
0.601826,0.598131,22
0.565297,0.565421,23
0.459361,0.434579,0
0.373059,0.336449,1
0.286758,0.28972,2
0.318721,0.303738,3
0.289041,0.275701,4
0.301826,0.28972,5
0.377169,0.35514,6
0.642009,0.621495,7
0.842922,0.785047,8
0.957078,0.88785,9
0.952511,0.901869,10
0.874886,0.878505,11
0.852055,0.803738,12
0.776712,0.733645,13
0.749315,0.724299,14
0.80411,0.733645,15
0.799543,0.757009,16
0.810959,0.752336,17
0.881735,0.841121,18
0.925114,0.878505,19
0.826941,0.794393,20
0.749315,0.682243,21
0.59863,0.584112,22
0.477626,0.5,23
0.444292,0.401869,0
0.343836,0.308411,1
0.300457,0.280374,2
0.286758,0.271028,3
0.270776,0.252336,4
0.318721,0.308411,5
0.371233,0.345794,6
0.626941,0.551402,7
0.827854,0.771028,8
0.923744,0.883178,9
0.937443,0.911215,10
0.884932,0.845794,11
0.816438,0.78972,12
0.734247,0.691589,13
0.727397,0.696262,14
0.731963,0.682243,15
0.763927,0.719626,16
0.743379,0.691589,17
0.878082,0.813084,18
0.900913,0.836449,19
0.800457,0.747664,20
0.722831,0.696262,21
0.60274,0.588785,22
0.56621,0.542056,23
0.446575,0.443925,0
0.366667,0.327103,1
0.288584,0.275701,2
0.316895,0.285047,3
0.332877,0.317757,4
0.32968,0.299065,5
0.405023,0.359813,6
0.621918,0.584112,7
0.811416,0.752336,8
0.923288,0.906542,9
0.921005,0.869159,10
0.90274,0.864486,11
0.847945,0.803738,12
0.765753,0.747664,13
0.728311,0.691589,14
0.744292,0.686916,15
0.752055,0.705607,16
0.740639,0.700935,17
0.913242,0.869159,18
0.9,0.88785,19
0.790411,0.813084,20
0.708219,0.67757,21
0.596347,0.588785,22
0.534703,0.518692,23
0.474886,0.425234,0
0.426941,0.359813,1
0.321918,0.299065,2
0.278539,0.233645,3
0.271689,0.257009,4
0.285388,0.247664,5
0.324201,0.308411,6
0.436073,0.448598,7
0.579909,0.574766,8
0.66895,0.64486,9
0.705479,0.621495,10
0.700913,0.682243,11
0.650685,0.635514,12
0.538813,0.542056,13
0.504566,0.46729,14
0.481735,0.471963,15
0.522831,0.481308,16
0.522831,0.495327,17
0.694064,0.686916,18
0.707763,0.682243,19
0.646119,0.616822,20
0.609589,0.574766,21
0.518265,0.490654,22
0.465753,0.420561,23
0.368037,0.303738,0
0.329224,0.294393,1
0.242466,0.233645,2
0.226484,0.191589,3
0.226484,0.186916,4
0.265297,0.224299,5
0.249315,0.219626,6
0.30411,0.285047,7
0.272146,0.247664,8
0.390868,0.35514,9
0.441096,0.401869,10
0.493607,0.453271,11
0.477626,0.453271,12
0.427397,0.392523,13
0.36347,0.345794,14
0.361187,0.341121,15
0.329224,0.308411,16
0.324658,0.313084,17
0.461644,0.453271,18
0.59863,0.574766,19
0.600913,0.565421,20
0.566667,0.546729,21
0.516438,0.523364,22
0.445662,0.429907,23
0.377169,0.359813,0
0.281279,0.271028,1
0.269863,0.224299,2
0.198174,0.200935,3
0.240183,0.200935,4
0.265297,0.242991,5
0.385388,0.331776,6
0.580365,0.546729,7
0.80274,0.742991,8
0.903196,0.859813,9
0.913242,0.869159,10
0.917808,0.859813,11
0.881279,0.827103,12
0.817352,0.780374,13
0.783105,0.775701,14
0.818721,0.808411,15
0.874886,0.836449,16
0.772146,0.794393,17
0.913699,0.864486,18
0.9,0.845794,19
0.810959,0.766355,20
0.710502,0.691589,21
0.589498,0.584112,22
0.541553,0.514019,23
0.452511,0.401869,0
0.350685,0.313084,1
0.317808,0.285047,2
0.272146,0.233645,3
0.265297,0.233645,4
0.329224,0.313084,5
0.422831,0.359813,6
0.596347,0.602804,7
0.778995,0.742991,8
0.895434,0.869159,9
0.879452,0.850467,10
0.852055,0.817757,11
0.813699,0.780374,12
0.729224,0.705607,13
0.701826,0.682243,14
0.731507,0.696262,15
0.735616,0.696262,16
0.708219,0.682243,17
0.790411,0.757009,18
0.927397,0.859813,19
0.776712,0.752336,20
0.726484,0.686916,21
0.607763,0.565421,22
0.530137,0.5,23
0.477169,0.476636,0
0.335616,0.331776,1
0.321918,0.280374,2
0.303653,0.280374,3
0.307763,0.280374,4
0.342009,0.308411,5
0.403653,0.369159,6
0.625114,0.565421,7
0.794064,0.71028,8
0.86484,0.817757,9
0.878539,0.827103,10
0.86484,0.831776,11
0.814612,0.775701,12
0.707306,0.686916,13
0.718721,0.686916,14
0.691324,0.686916,15
0.73242,0.705607,16
0.710959,0.672897,17
0.810046,0.742991,18
0.873973,0.850467,19
0.791781,0.757009,20
0.711872,0.668224,21
0.609132,0.565421,22
0.561187,0.565421,23
0.451598,0.434579,0
0.373973,0.364486,1
0.300913,0.294393,2
0.291781,0.275701,3
0.284932,0.261682,4
0.321461,0.294393,5
0.411872,0.373832,6
0.605936,0.630841,7
0.782648,0.738318,8
0.863927,0.85514,9
0.868493,0.841121,10
0.839726,0.817757,11
0.766667,0.775701,12
0.713242,0.67757,13
0.723288,0.682243,14
0.718721,0.658879,15
0.727854,0.686916,16
0.698174,0.67757,17
0.752968,0.724299,18
0.871689,0.841121,19
0.773516,0.742991,20
0.714155,0.672897,21
0.597717,0.565421,22
0.517808,0.528037,23
0.421918,0.420561,0
0.346575,0.327103,1
0.331507,0.308411,2
0.301826,0.252336,3
0.297717,0.266355,4
0.29863,0.271028,5
0.355708,0.350467,6
0.597717,0.570093,7
0.734703,0.696262,8
0.830594,0.799065,9
0.842009,0.799065,10
0.791781,0.757009,11
0.730137,0.724299,12
0.689041,0.658879,13
0.673059,0.649533,14
0.69589,0.67757,15
0.714155,0.686916,16
0.714155,0.691589,17
0.730137,0.724299,18
0.86484,0.827103,19
0.782648,0.733645,20
